id,category_code,degree,domain_name,original_phases,replace_type,target_produced_words1,target_produced_words2,Word,Sentiment
14516,27,80,general,self worth,Ngram,self-worth,self-worth,self-worth,Positive
14517,28,80,general,goose bumps,Ngram,goose-bumps,goose-bumps,goose-bumps,Negative
14518,28,80,general,toned down,Ngram,toned-down,toned-down,toned-down,Negative
14519,27,80,general,seventh heaven,Ngram,seventh-heaven,seventh-heaven,seventh-heaven,Positive
14520,28,80,general,goose-bumpy,Ngram,goose-bumpy,goose-bumpy,goose-bumpy,Negative
14521,28,80,general,tongue-lashing,Ngram,tongue-lashing,tongue-lashing,tongue-lashing,Negative
14522,27,80,general,shaggy dog story,Ngram,shaggy-dog-story,shaggy-dog-story,shaggy-dog-story,Positive
14523,28,80,general,grate on,Ngram,grate-on,grate-on,grate-on,Negative
14524,28,80,general,topsy-turvy,Ngram,topsy-turvy,topsy-turvy,topsy-turvy,Negative
14525,27,80,general,shangri-la,Ngram,shangri-la,shangri-la,shangri-la,Positive
14526,28,80,general,great haste,Ngram,great-haste,great-haste,great-haste,Negative
14527,28,80,general,torn-up,Ngram,torn-up,torn-up,torn-up,Negative
14528,27,80,general,side-splitting,Ngram,side-splitting,side-splitting,side-splitting,Positive
14529,28,80,general,green about the gills,Ngram,green-about-the-gills,green-about-the-gills,green-about-the-gills,Negative
14530,28,80,general,tossing and turning,Ngram,tossing-and-turning,tossing-and-turning,tossing-and-turning,Negative
14531,27,80,general,side splitting,Ngram,side-splitting,side-splitting,side-splitting,Positive
14532,28,80,general,green with envy,Ngram,green-with-envy,green-with-envy,green-with-envy,Negative
14533,28,80,general,touch and go,Ngram,touch-and-go,touch-and-go,touch-and-go,Negative
